Emotional,Keyword,Sentimen,Response Category,Response
Marah,Ketidakadilan yang dirasakan,Negatif,Empathy,Aku mengerti betapa sulitnya merasakan ketidakadilan. Mari kita bicarakan apa yang kamu rasakan.
Marah,Perasaan dikhianati oleh orang lain,Negatif,Empathy,Perasaan dikhianati itu sangat menyakitkan. Aku di sini untuk mendengarkanmu.
Marah,Ketidakmampuan untuk mengontrol situasi,Negatif,Empathy,Ketidakmampuan untuk mengontrol situasi bisa membuat frustrasi. Mari kita cari cara untuk menghadapinya bersama.
Marah,Perlakuan tidak adil dari orang lain,Negatif,Empathy,Perlakuan tidak adil dari orang lain bisa sangat menyakitkan. Kamu tidak sendirian dalam hal ini.
Marah,Rasa frustrasi akibat kegagalan,Negatif,Empathy,"Rasa frustrasi akibat kegagalan itu wajar. Kita semua pernah mengalaminya, dan itu tidak mengurangi nilai dirimu."
Marah,Rasa sakit akibat kehilangan,Negatif,Empathy,Rasa sakit akibat kehilangan bisa sangat mendalam. Mari kita bicarakan bagaimana kamu bisa merasa lebih baik.
Marah,Ketidakadilan di tempat kerja,Negatif,Empathy,Ketidakadilan di tempat kerja bisa membuatmu merasa tertekan. Mari kita cari solusi untuk situasi ini.
Marah,Perasaan diabaikan atau tidak dihargai,Negatif,Empathy,Merasa diabaikan atau tidak dihargai itu menyakitkan. Kamu berhak mendapatkan perhatian dan penghargaan.
Marah,Keputusan orang lain yang merugikan,Negatif,Empathy,Keputusan orang lain yang merugikan bisa membuat kita marah. Mari kita bicarakan bagaimana kamu bisa menghadapinya.
Marah,Ketidakmampuan untuk mengekspresikan perasaan,Negatif,Empathy,Ketidakmampuan untuk mengekspresikan perasaan bisa membuatmu merasa terjebak. Mari kita cari cara untuk mengekspresikannya dengan baik.
Marah,Rasa cemburu atau iri terhadap orang lain,Negatif,Empathy,Rasa cemburu atau iri itu wajar. Mari kita bicarakan bagaimana kamu bisa mengubah perasaan itu menjadi motivasi.
Marah,Ketidakadilan dalam sistem sosial,Negatif,Empathy,Ketidakadilan dalam sistem sosial bisa membuat kita merasa putus asa. Mari kita cari cara untuk berkontribusi pada perubahan.
Marah,Perasaan tertekan akibat tuntutan hidup,Negatif,Empathy,"Tuntutan hidup yang berat bisa membuatmu merasa tertekan. Ingat, penting untuk merawat dirimu sendiri."
Marah,Kebijakan atau aturan yang tidak adil,Negatif,Empathy,Kebijakan atau aturan yang tidak adil bisa membuatmu frustrasi. Mari kita bicarakan bagaimana kamu bisa menyuarakan pendapatmu.
Marah,Ketidakmampuan untuk mencapai tujuan,Negatif,Empathy,"Ketidakmampuan untuk mencapai tujuan bisa membuatmu merasa kecewa. Ingat, setiap langkah kecil adalah kemajuan."
Marah,Perlakuan buruk dalam hubungan keluarga,Negatif,Empathy,Perlakuan buruk dalam hubungan keluarga bisa sangat menyakitkan. Mari kita bicarakan bagaimana kamu bisa memperbaiki situasi ini.
Marah,Situasi yang tidak diinginkan,Negatif,Empathy,Situasi yang tidak diinginkan bisa membuatmu merasa terjebak. Mari kita cari cara untuk mengubahnya.
Marah,Perilaku orang lain yang menyakitkan,Negatif,Empathy,"Perilaku orang lain yang menyakitkan bisa membuatmu marah. Ingat, kamu berhak untuk merasa baik."
Marah,Lingkungan sekitar yang tidak mendukung,Negatif,Empathy,Lingkungan sekitar yang tidak mendukung bisa membuatmu merasa kesepian. Mari kita cari cara untuk menciptakan dukungan di sekitarmu.
Marah,Perubahan yang tidak diinginkan,Negatif,Empathy,Perubahan yang tidak diinginkan bisa membuatmu merasa tidak nyaman. Mari kita bicarakan bagaimana kamu bisa beradaptasi.
Marah,Komunikasi yang buruk,Negatif,Empathy,Komunikasi yang buruk bisa menyebabkan banyak masalah. Mari kita cari cara untuk berkomunikasi dengan lebih baik.
Marah,Pengabaian emosional,Negatif,Empathy,Pengabaian emosional itu menyakitkan. Kamu berhak mendapatkan perhatian dan kasih sayang.
Marah,Ekspektasi yang tidak terpenuhi,Negatif,Empathy,Ekspektasi yang tidak terpenuhi bisa membuatmu merasa kecewa. Mari kita bicarakan harapan yang realistis.
Marah,Pengabaian kebutuhan pribadi,Negatif,Empathy,"Pengabaian kebutuhan pribadi bisa membuatmu merasa terabaikan. Ingat, penting untuk merawat dirimu sendiri."
Marah,Pengabaian hak-hak pribadi,Negatif,Empathy,Pengabaian hak-hak pribadi bisa membuatmu merasa tidak berdaya. Mari kita bicarakan cara untuk memperjuangkan hakmu.
Marah,Situasi yang tidak terduga,Negatif,Empathy,Situasi yang tidak terduga bisa membuatmu merasa cemas. Mari kita bicarakan bagaimana kamu bisa bersiap-siap.
Marah,Pengabaian perasaan,Negatif,Empathy,"Pengabaian perasaan bisa membuatmu merasa terasing. Ingat, perasaanmu valid dan penting."
Marah,Pengabaian keinginan,Negatif,Empathy,Pengabaian keinginan bisa membuatmu merasa tidak puas. Mari kita bicarakan apa yang kamu inginkan dan bagaimana mencapainya.
Marah,Pengabaian harapan,Negatif,Empathy,Pengabaian harapan bisa membuatmu merasa putus asa. Mari kita cari cara untuk membangkitkan harapan kembali.
