Keyword (SYMPTOMPS),DISORDER,DESCRIPTION,,KATEGORY,PERTANYAAN,PERTANYAAN LANJUTAN,,DISORDER,FAKTOR PEMICU,INITIAL SOLUTION,,,ADVICE
kehilangan minat,Depresi,"Hilangnya minat pada hampir semua/semua aktivitas sepanjang hari, setiap hari. berlangsung selama 2 minggu, ditambah mengalami 4 gejala umum",,Depresi,apakah dirimu merasa kurang minat atau kesenangan dalam melakukan sesuatu?, apa kamu merasa kesulitan dalam berkonsentrasi melakukan sesuatu selama sepuluh menit?,,DEPRESI,"Biologis: 
1. Ketidakseimbangan neurotransmitter (serotonin, dopamin).
2. Genetik atau riwayat keluarga dengan depresi.
3. Penyakit kronis seperti tiroid atau diabetes.
4. Perubahan hormonal (misalnya, postpartum depression).
5. Aktivitas berkurang di lobus prefrontal otak.","Langkah Awal : 
1. Jurnal Harian: Catat 3 hal kecil yang membuatmu bersyukur setiap hari. Fokus pada hal positif, meskipun sederhana.
2. Cari Dukungan Emosional: Hubungi teman, keluarga, atau komunitas untuk membicarakan apa yang kamu rasakan.
3. Lakukan Aktivitas Ringan: Pilih aktivitas seperti berjalan di taman atau mendengarkan musik yang menenangkan.",,DEPRESI,"""Hari buruk bukan berarti hidup yang buruk. Beri dirimu waktu untuk bernapas, perlahan-lahan kamu akan menemukan jalanmu kembali."""
tertekan,Depresi,merasa terpuruk dalam kesedihan,,Depresi,apakah kamu merasa sedih atau tertekan?, apa kamu kesulitan mengingat hal hal penting?,,DEPRESI,"Psikologis: 
1.  Trauma masa kecil (pelecehan, kehilangan orang tua).
2. Pola pikir negatif atau self-blame kronis.
3. Perasaan gagal mencapai ekspektasi hidup.
4. Ketakutan yang berlebihan terhadap masa depan
5. Kurangnya rasa harga diri.","Strategi Harian : 
1. Tetapkan Rutinitas: Buat jadwal sederhana untuk menjaga struktur harianmu.
2. Atur Pola Makan: Konsumsi makanan bergizi untuk mendukung kesehatan mental (hindari gula berlebihan).
3. Batasi Konsumsi Media Sosial: Kurangi paparan terhadap hal-hal yang memicu perasaan tidak cukup baik.",,DEPRESI,"""Kamu tidak sendirian. Orang-orang di sekitar peduli padamu lebih dari yang kamu kira."""
penurunan berat badan,Depresi,"tidak merasa senang dalam melakukan aktivitas favorit, perubahan nafsu makan",,Depresi,apakah kamu merasa lebih emosional dari biasanya?, apa kamu merasa sulit untuk menganalisis dan menemukan solusi untuk masalah dalam kehidupan seharihari?,,DEPRESI,"Lingkungan: 
1.  Stres pekerjaan berkepanjangan.
2. Kehilangan pekerjaan atau ketidakstabilan finansial.
3. Konflik dalam hubungan atau perceraian.
4. Kehilangan orang yang dicintai.
5. Eksposur terhadap lingkungan yang beracun (misalnya, bullying).","Teknik Jangka Pendek : 
1. Pernapasan Mendalam: Ambil napas dalam 4 hitungan, tahan 4 hitungan, dan hembuskan 4 hitungan.
2. Terapkan Self-Compassion: Jangan terlalu keras pada diri sendiri; beri penghargaan atas usaha kecil.",,DEPRESI,"""Langkah kecil ke depan tetaplah kemajuan. Jangan remehkan kekuatan dari satu langkah kecil."""
merasa lelah sepanjang waktu,Depresi,gangguan tidur,,Depresi,apakah tidur mu lebih sebentar dari biasanya namun masih memiliki banyak energi tersisa?,apa kamu kesulitan dalammempelajari hal baru atau kesulitan untuk mengingat jalan ke tempat baru?,,DEPRESI,"Faktor Lain: 
1. Konsumsi alkohol atau penyalahgunaan obat.
2. Efek samping obat tertentu (misalnya, beta-blockers).
3. Kurang tidur kronis.
4. Perubahan besar dalam hidup (pindah rumah, pensiun).
5. Isolasi sosial atau kesepian.","Anjuran Profesional : 
1. Konsultasikan dengan psikolog atau terapis untuk memulai terapi CBT (Cognitive Behavioral Therapy).
2. Jika perlu, temui psikiater untuk pertimbangan pengobatan antidepresan.",,DEPRESI,"""Kegelapan ini tidak akan berlangsung selamanya. Cahaya akan datang, bersabarlah dan bertahanlah."""
perasaan tidak berharga,Depresi,perubahan psikomotor meliputi agitasi (gejala prilaku dan fisik),,Depresi,apakah kamu memulai banyak kegiatan atau hal baru yang beresiko akhir akhir ini?,apa kamu memahamisecara umum apa yang dikatakan orang?,,Kecemasan Umum,"Biologis: 
1. Ketidakseimbangan hormon kortisol.
2. Aktivitas berlebih pada sistem saraf otonom.
3. Genetik yang diwariskan dalam keluarga.
4. Sensitivitas berlebih pada reseptor GABA.
5. Aktivasi hiper di amigdala.","Langkah Awal : 
1. Identifikasi Pemicu: Catat situasi atau pikiran yang sering memicu kecemasan.
2. Pernapasan Perut: Tarik napas perlahan melalui hidung hingga perut mengembang, lalu hembuskan perlahan.
3. Kurangi Stimulasi Berlebih: Hindari kafein, alkohol, atau aktivitas yang memicu overstimulasi.",,DEPRESI,"""Tidak apa-apa merasa lelah, tapi jangan menyerah. Kamu lebih kuat dari yang kamu sadari."""
berkurangnya kemampuan untuk berpikir,Depresi,"penurunan energi, lelah terus menerus",,Depresi,"apakah kamu gugup, khawatir atau cemas?", apa kamu bisa memulai dan mempertahankan percakapan?,,Kecemasan Umum,"Psikologis : 
1. Pola pikir yang selalu overthinking.
2. Ketakutan akan hal-hal yang tidak pasti.
3. Trauma emosional masa lalu.
4. Pola kecemasan yang terus diperkuat dalam lingkungan.
5. Kebiasaan menghindari situasi sulit.","Strategi Harian : 
1. Waktu Khusus untuk Cemas: Tetapkan waktu tertentu (misalnya 15 menit/hari) untuk memikirkan kekhawatiranmu, lalu lanjutkan aktivitas lain.
2. Tetap Aktif Fisik: Lakukan yoga, berjalan, atau olahraga ringan untuk melepaskan energi kecemasan.
3. Buat To-Do List: Pecah tugas besar menjadi langkah kecil yang dapat dilakukan satu per satu.",,Kecemasan Umum,"""Ketidakpastian itu menakutkan, tapi kamu tidak harus menghadapinya sendirian. Fokus pada apa yang bisa kamu kendalikan."""
berfikir untuk mengakhiri hidup,Depresi,"merasa tidak berharga, gangguan kemampuan untuk berfikir, ide bunuh diri, 
gangguan fungsi sosial dan pekerjaan",,Depresi,apakah kamu merasa sakit tapi tidak diketahui penyebabnya?,apa kamu sanggup berdiri dalam waktu yang lama?,,Kecemasan Umum,"Lingkungan : 
1. Tekanan pekerjaan atau akademik.
2. Konflik keluarga yang berulang.
3. Perubahan besar dalam hidup (pindah tempat tinggal, pernikahan).
4. Hidup di daerah konflik atau penuh kekerasan.
5. Ekspektasi tinggi dari orang lain (misalnya, orang tua).","Teknik Jangka Pendek : 
1. Mindfulness: Fokus pada indra saat ini (apa yang dilihat, didengar, dirasakan).
2. Tulis Kekhawatiran: Setelah menuliskan, tanyakan: “Apakah ini mungkin terjadi?” atau “Apakah saya bisa mengontrolnya?”",,Kecemasan Umum,"""Menarik napas panjang dan menghitung sampai 10 dapat membantu mengurangi beban pikiranmu."""
merasa gelisah atau tegang,Kecemasan Umum,kecemasan atau kekhawatiran berlebihan terjadi lebih dari 6 bulan atau minimal 6 bulan mengenai sejumlah peristiwa atau aktivitas ,,Depresi,apakah kamu pernah berfikir untuk menyakiti diri sendiri?,apa kamu sering bangun dan duduk secara tiba tiba juga sering berjalan bolak balik dan berpindah pindah?,,Kecemasan Umum,"Faktor Lain : 
1. Konsumsi kafein atau stimulan lain secara berlebihan.
2. Kurang tidur kronis.
3. Efek samping obat tertentu (seperti dekongestan).
4. Kelelahan fisik yang ekstrem.
5. Penyakit yang menimbulkan kecemasan (misalnya, hipertensi).","Anjuran Profesional : 
1. Terapi berbasis mindfulness atau CBT sering efektif untuk kecemasan umum.
2. Psikiater dapat meresepkan SSRI (Selective Serotonin Reuptake Inhibitors) jika gejala mengganggu aktivitas sehari-hari.",,Kecemasan Umum,"""Kamu bukan pikiran cemasmu. Kamu lebih besar dan lebih kuat dari rasa cemas itu."""
mudah lelah,Kecemasan Umum,individu merasa sulit mengendalikan kekhawatirannya,,Depresi,apakah kamu memiliki masalah dengan ingatan? seperti mudah melupakan sesuatu atau mengingat hal baru?,"bagaimana kehidupan mu sehari hari? apakah makan mu masih teratur, mandi dan membersihkan diri, dan mengenakan pakaian?",,Gangguan Panik,"Biologis: 
1. Ketidakseimbangan neurotransmitter (serotonin, norepinefrin).
2. Genetik atau riwayat keluarga dengan gangguan panik.
3. Aktivitas berlebihan di sistem saraf simpatik.
4. Ketidakseimbangan hormon adrenalin.
5. Disregulasi sistem limbik otak.","Langkah Awal : 
1. Pahami Serangan Panik: Ingat bahwa itu tidak berbahaya dan akan berlalu.
2. Zona Aman: Temukan tempat tenang ketika serangan terjadi untuk menenangkan diri.
3. Dukungan Orang Terdekat: Beritahu keluarga atau teman untuk memberikan dukungan jika serangan terjadi.",,Kecemasan Umum,"""Saat kamu merasa kewalahan, istirahatlah sejenak dan ingat bahwa kamu sudah menghadapi hal-hal sulit sebelumnya."""
sulit berkonsentrasi,Kecemasan Umum,"Kecemasan dan kekhawatiran berhubungan dengan tiga (atau lebih) dari enam gejala berikut (dengan setidaknya beberapa gejala telah muncul selama beberapa hari dibandingkan tidak selama 6 bulan terakhir): 
1. Kegelisahan atau perasaan tegang atau gelisah.
2. Mudah lelah.
3. Sulit berkonsentrasi atau pikiran menjadi blank.
4. Iritabilitas.
5. Ketegangan otot.
6 Gangguan tidur (kesulitan jatuh atau tetap tertidur, atau gelisah, tidur tidak memuaskan)",,Depresi,apakah di pikiran mu sering terlintas gambaran sesuatu hal yang tidak menyenangkan berulang kalii?,apa kamu tinggal sendirian selama beberapa hari ini?,,Gangguan Panik,"Psikologis : 
1. Ketakutan kehilangan kendali.
2. Kecemasan akan serangan panik itu sendiri.
3. Trauma emosional masa lalu.
4. Pola pikir perfeksionis atau takut salah.
5. Penghindaran berlebihan terhadap situasi baru","Strategi Harian : 
1. Latihan Relaksasi: Lakukan meditasi atau yoga selama 10 menit setiap hari.
2. Cukup Istirahat: Pastikan tidur yang cukup dan berkualitas untuk mengurangi stres.
3. Hindari Stres Berlebih: Batasi tanggung jawab berlebih yang dapat memicu serangan.",,Kecemasan Umum,"""Hari ini sulit, tapi jangan lupa bahwa kamu memiliki kekuatan untuk bertahan dan bangkit kembali."""
